2026.07.20 21:42:02 | core.stats_api | INFO | Tokens updated
2026.07.20 21:42:03 | core.services.services | INFO | Match 1784571662 The Singularity saved.
2026.07.20 21:42:03 | core.services.services | INFO | All Available matches saved.
2026.07.20 21:57:17 | core.services.services | INFO | All Available matches saved.
2026.07.20 22:10:41 | core.services.services | INFO | All Available matches saved.
2026.07.20 22:24:05 | core.services.services | INFO | All Available matches saved.
2026.07.20 22:35:13 | core.services.services | INFO | All Available matches saved.
2026.07.20 22:46:55 | core.stats_api | INFO | Getting tokens...
2026.07.20 22:46:56 | core.stats_api | INFO | Tokens updated
2026.07.20 22:46:58 | core.services.services | INFO | All Available matches saved.
2026.07.20 22:58:41 | core.services.services | INFO | All Available matches saved.
2026.07.20 23:02:19 | core.services.services | INFO | All Available matches saved.
2026.07.20 23:12:53 | core.services.services | INFO | All Available matches saved.
2026.07.20 23:23:27 | core.services.services | INFO | All Available matches saved.
2026.07.20 23:34:02 | core.services.services | INFO | Match 1784578444 The Singularity saved.
2026.07.20 23:34:02 | core.services.services | INFO | All Available matches saved.
2026.07.20 23:44:38 | core.services.services | INFO | All Available matches saved.
2026.07.20 23:55:12 | core.stats_api | INFO | Getting tokens...
2026.07.20 23:55:13 | core.stats_api | INFO | Tokens updated
2026.07.20 23:55:14 | core.services.services | INFO | Match 1784579445 The Singularity saved.
2026.07.20 23:55:14 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:05:52 | core.services.services | INFO | Match 1784580773 The Singularity saved.
2026.07.21 00:05:52 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:14:16 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:14:36 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:14:45 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:29:00 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:43:16 | core.services.services | INFO | Match 1784582235 The Singularity saved.
2026.07.21 00:43:16 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:53:53 | core.services.services | INFO | Match 1784583422 The Singularity saved.
2026.07.21 00:53:53 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:53:56 | core.services.services | INFO | All Available matches saved.
2026.07.21 00:54:46 | core.services.services | INFO | All Available matches saved.
2026.07.21 01:08:35 | core.stats_api | INFO | Getting tokens...
2026.07.21 01:08:36 | core.stats_api | INFO | Tokens updated
2026.07.21 01:08:37 | core.services.services | INFO | All Available matches saved.
2026.07.21 01:12:21 | core.services.services | INFO | Match 1784584659 The Singularity saved.
2026.07.21 01:12:21 | core.services.services | INFO | All Available matches saved.
2026.07.21 01:26:50 | core.services.services | INFO | All Available matches saved.
2026.07.21 01:41:27 | __main__ | ERROR | Cannot connect to host account-backend.bhvr.com:443 ssl:default [Указанное сетевое имя более недоступно]
2026.07.21 15:49:09 | core.stats_api | INFO | Getting tokens...
2026.07.21 15:49:10 | core.stats_api | INFO | Tokens updated
2026.07.21 15:49:12 | core.services.services | INFO | Match 1784637267 The Singularity saved.
2026.07.21 15:49:12 | core.services.services | INFO | Match 1784636028 The Singularity saved.
2026.07.21 15:49:12 | core.services.services | INFO | Match 1784634677 The Singularity saved.
2026.07.21 15:49:12 | core.services.services | INFO | All Available matches saved.
2026.07.21 16:00:17 | core.services.services | INFO | All Available matches saved.
2026.07.21 16:11:21 | core.services.services | INFO | Match 1784638537 The Singularity saved.
2026.07.21 16:11:21 | core.services.services | INFO | All Available matches saved.
2026.07.21 16:11:46 | core.services.services | INFO | All Available matches saved.
2026.07.21 16:24:22 | core.services.services | INFO | Match 1784639934 The Singularity saved.
2026.07.21 16:24:23 | core.services.services | INFO | All Available matches saved.
2026.07.21 16:26:25 | core.services.services | INFO | All Available matches saved.
2026.07.21 16:37:33 | core.services.services | INFO | All Available matches saved.
2026.07.21 16:49:02 | core.services.services | INFO | Match 1784640486 The Singularity saved.
2026.07.21 16:49:02 | core.services.services | INFO | All Available matches saved.
2026.07.21 17:00:31 | core.stats_api | INFO | Getting tokens...
2026.07.21 17:00:32 | core.stats_api | INFO | Tokens updated
2026.07.21 17:00:33 | core.services.services | INFO | All Available matches saved.
2026.07.21 19:05:40 | core.stats_api | INFO | Getting tokens...
2026.07.21 19:05:41 | core.stats_api | INFO | Tokens updated
2026.07.21 19:05:42 | core.services.services | INFO | Match 1784643625 The Singularity saved.
2026.07.21 19:05:42 | core.services.services | INFO | All Available matches saved.
2026.07.21 19:17:55 | core.services.services | INFO | All Available matches saved.
2026.07.21 19:23:04 | core.services.services | INFO | Match 1784650023 The Singularity saved.
2026.07.21 19:23:04 | core.services.services | INFO | All Available matches saved.
2026.07.21 19:33:48 | core.services.services | INFO | All Available matches saved.
2026.07.21 19:44:29 | core.services.services | INFO | All Available matches saved.
2026.07.21 19:55:10 | core.services.services | INFO | Match 1784651313 The Singularity saved.
2026.07.21 19:55:10 | core.services.services | INFO | All Available matches saved.
2026.07.21 20:05:52 | core.stats_api | INFO | Getting tokens...
2026.07.21 20:06:51 | __main__ | ERROR | Cannot connect to host account-backend.bhvr.com:443 ssl:default [None]
2026.07.21 20:06:51 | core.stats_api | INFO | Getting tokens...
2026.07.21 20:06:52 | core.stats_api | INFO | Tokens updated
2026.07.21 20:06:54 | core.services.services | INFO | All Available matches saved.
2026.07.21 20:17:35 | core.services.services | INFO | Match 1784652707 The Nurse saved.
2026.07.21 20:17:35 | core.services.services | INFO | All Available matches saved.
2026.07.21 20:29:07 | core.services.services | INFO | All Available matches saved.
2026.07.21 20:39:48 | core.services.services | INFO | Match 1784654404 The Singularity saved.
2026.07.21 20:39:48 | core.services.services | INFO | All Available matches saved.
2026.07.21 20:50:32 | core.services.services | INFO | Match 1784655299 The Singularity saved.
2026.07.21 20:50:32 | core.services.services | INFO | All Available matches saved.
2026.07.21 20:56:58 | core.services.services | INFO | All Available matches saved.
2026.07.21 21:08:53 | core.stats_api | INFO | Getting tokens...
2026.07.21 21:08:54 | core.stats_api | INFO | Tokens updated
2026.07.21 21:08:58 | core.services.services | INFO | All Available matches saved.
2026.07.21 21:09:10 | core.services.services | INFO | All Available matches saved.
2026.07.21 21:11:58 | core.services.services | INFO | All Available matches saved.
2026.07.21 21:23:48 | core.services.services | INFO | All Available matches saved.
2026.07.21 21:35:38 | core.services.services | INFO | All Available matches saved.
2026.07.21 21:37:22 | core.services.services | INFO | All Available matches saved.
2026.07.21 21:51:00 | core.services.services | INFO | All Available matches saved.
2026.07.21 21:52:59 | core.services.services | INFO | All Available matches saved.
2026.07.22 08:19:09 | core.stats_api | INFO | Getting tokens...
2026.07.22 08:19:09 | core.stats_api | INFO | Tokens updated
2026.07.22 08:19:11 | core.services.services | INFO | Match 1784695058 The Singularity saved.
2026.07.22 08:19:11 | core.services.services | INFO | Match 1784696305 The Singularity saved.
2026.07.22 08:19:11 | core.services.services | INFO | All Available matches saved.
2026.07.22 08:19:12 | __main__ | ERROR | 'VE_SurrenderDraw'
2026.07.22 08:19:14 | core.services.services | INFO | All Available matches saved.
2026.07.22 08:20:42 | core.stats_api | INFO | Getting tokens...
2026.07.22 08:20:43 | core.stats_api | INFO | Tokens updated
2026.07.22 08:20:44 | core.services.services | INFO | All Available matches saved.
2026.07.22 08:34:13 | core.services.services | INFO | All Available matches saved.
2026.07.22 08:47:41 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:01:09 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:14:37 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:28:05 | core.stats_api | INFO | Getting tokens...
2026.07.22 09:28:05 | core.stats_api | INFO | Tokens updated
2026.07.22 09:28:07 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:32:07 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:39:41 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:47:06 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:47:20 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:49:12 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:55:57 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:57:43 | core.services.services | INFO | All Available matches saved.
2026.07.22 09:57:49 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:00:45 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:01:27 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:01:30 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:01:33 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:01:35 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:02:47 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:02:51 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:02:52 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:02:54 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:16:08 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:26:31 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:27:07 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:27:13 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:39:47 | core.stats_api | INFO | Getting tokens...
2026.07.22 10:39:48 | core.stats_api | INFO | Tokens updated
2026.07.22 10:39:49 | core.services.services | INFO | All Available matches saved.
2026.07.22 10:54:07 | core.services.services | INFO | All Available matches saved.
2026.07.22 11:08:52 | core.services.services | INFO | All Available matches saved.
2026.07.22 11:23:37 | core.services.services | INFO | All Available matches saved.
2026.07.22 11:38:23 | core.services.services | INFO | All Available matches saved.
2026.07.22 11:53:07 | core.stats_api | INFO | Getting tokens...
2026.07.22 11:53:08 | core.stats_api | INFO | Tokens updated
2026.07.22 11:53:09 | core.services.services | INFO | All Available matches saved.
2026.07.22 11:55:33 | core.services.services | INFO | All Available matches saved.
